"","Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Quarter","Launch_Year","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Cache_Size","Cache_Type","Instruction_Set","TDP","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth"
"1759","Legacy","Desktop","i5-3570K","End of Life",2,2012,"22 nm","$225.00 - $235.00",4,4,3400,8.72323127482751,"SmartCache","64-bit",77,32,"DDR3 1333/1600",2,25.6
"1760","Legacy","Desktop","i5-3570T","End of Life",2,2012,"22 nm","$205.00 ",4,4,2300,8.72323127482751,"SmartCache","64-bit",45,32,"DDR3 1333/1600",2,25.6
"1761","Legacy","Desktop","i5-3570S","End of Life",2,2012,"22 nm","$205.00 ",4,4,3100,8.72323127482751,"SmartCache","64-bit",65,32,"DDR3 1333/1600",2,25.6
"1784","Legacy","Desktop","i7-3770","End of Life",2,2012,"22 nm","$272.00 - $305.00",4,8,3400,9.01091334727929,"SmartCache","64-bit",77,32,"DDR3 1333/1600",2,25.6
"1786","Legacy","Desktop","i7-3770K","End of Life",2,2012,"22 nm","$332.00 - $342.00",4,8,3500,9.01091334727929,"SmartCache","64-bit",77,32,"DDR3 1333/1600",2,25.6
"1787","Legacy","Desktop","i7-3770S","End of Life",2,2012,"22 nm","$294.00 - $305.00",4,8,3100,9.01091334727929,"SmartCache","64-bit",65,32,"DDR3 1333/1600",2,25.6
"1788","Legacy","Desktop","i7-3770T","End of Life",2,2012,"22 nm","$294.00 ",4,8,2500,9.01091334727929,"SmartCache","64-bit",45,32,"DDR3 1333/1600",2,25.6
"1937","Legacy","Desktop","G540T","End of Life",2,2012,"32 nm","N/A",2,2,2100,7.6246189861594,"SmartCache","64-bit",35,32,"DDR3 1066",2,17
"1950","Legacy","Desktop","G550","End of Life",2,2012,"32 nm","$42.00 ",2,2,2600,7.6246189861594,"SmartCache","64-bit",65,32,"DDR3 1066",2,17
"114","Legacy","Embedded","B915C","Launched",2,2012,"","$168.00 ",2,4,1500,8.03008409426756,"L3","64-bit",15,32,"DDR3 1066/1333",2,21.3
"1644","Legacy","Embedded","i3-2115C","Launched",2,2012,"","$293.00 ",2,4,2000,8.03008409426756,"SmartCache","64-bit",25,32,"DDR3 1066/1333",2,21.3
"1762","Legacy","Embedded","i5-3610ME","Launched",2,2012,"22 nm","$235.00 ",2,4,2700,8.03008409426756,"SmartCache","64-bit",35,16,"DDR3/DDR3L 1333/1600",2,25.6
"1765","Legacy","Embedded","i7-3517UE","Launched",2,2012,"22 nm","$280.00 ",2,4,1700,8.31776616671934,"SmartCache","64-bit",17,16,"DDR3/DDR3L 1333/1600",2,25.6
"1768","Legacy","Embedded","i7-3555LE","Launched",2,2012,"22 nm","$306.00 ",2,4,2500,8.31776616671934,"SmartCache","64-bit",25,16,"DDR3/DDR3L 1333/1600",2,25.6
"1769","Legacy","Embedded","i7-3610QE","Launched",2,2012,"22 nm","$335.00 ",4,8,2300,8.72323127482751,"SmartCache","64-bit",45,32.23,"DDR3 1067/1333/1600, DDR3L 1333/1600",2,25.6
"1772","Legacy","Embedded","i7-3612QE","Launched",2,2012,"22 nm","$363.00 ",4,8,2100,8.72323127482751,"SmartCache","64-bit",35,16.11,"DDR3/DDR3L 1067/1333/1600",2,25.6
"1774","Legacy","Embedded","i7-3615QE","Launched",2,2012,"22 nm","$335.00 ",4,8,2300,8.72323127482751,"SmartCache","64-bit",45,16.11,"DDR3/DDR3L 1067/1333/1600",2,25.6
"2015","Legacy","Embedded","725C","Launched",2,2012,"","$90.00 ",1,2,1300,7.33693691370762,"L3","64-bit",10,16,"DDR3 1066/1333",1,21.3
"262","Legacy","Mobile","B980","Launched",2,2012,"32 nm","N/A",2,2,2400,7.6246189861594,"Standard","64-bit",35,16,"DDR3 1066/1333",2,21.3
"1663","Legacy","Mobile","i3-2377M","Launched",2,2012,"32 nm","N/A",2,4,1500,8.03008409426756,"SmartCache","64-bit",17,16,"DDR3 1066/1333",2,25.6
"1713","Legacy","Mobile","i3-3110M","Launched",2,2012,"22 nm","$225.00 ",2,4,2400,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1719","Legacy","Mobile","i3-3217U","Launched",2,2012,"22 nm","$225.00 ",2,4,1800,8.03008409426756,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1730","Legacy","Mobile","i5-3210M","Launched",2,2012,"22 nm","$225.00 ",2,4,2500,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1734","Legacy","Mobile","i5-3317U","Launched",2,2012,"22 nm","$225.00 ",2,4,1700,8.03008409426756,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1735","Legacy","Mobile","i5-3320M","Launched",2,2012,"22 nm","$225.00 - $227.00",2,4,2600,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1736","Legacy","Mobile","i5-3210M","Launched",2,2012,"22 nm","$225.00 ",2,4,2500,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1745","Legacy","Mobile","i5-3360M","Launched",2,2012,"22 nm","$266.00 - $269.00",2,4,2800,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1746","Legacy","Mobile","i5-3427U","Launched",2,2012,"22 nm","$225.00 ",2,4,1800,8.03008409426756,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1763","Legacy","Mobile","i7-3517U","Launched",2,2012,"22 nm","N/A",2,4,1900,8.31776616671934,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1764","Legacy","Mobile","i7-3520M","Launched",2,2012,"22 nm","$346.00 ",2,4,2900,8.31776616671934,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1770","Legacy","Mobile","i7-3610QM","Launched",2,2012,"22 nm","$378.00 ",4,8,2300,8.72323127482751,"SmartCache","64-bit",45,32,"DDR3/L/-RS 1333/1600",2,25.6
"1771","Legacy","Mobile","i7-3612QM","Launched",2,2012,"22 nm","$378.00 ",4,8,2100,8.72323127482751,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1773","Legacy","Mobile","i7-3612QM","Launched",2,2012,"22 nm","$378.00 ",4,8,2100,8.72323127482751,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1775","Legacy","Mobile","i7-3615QM","Launched",2,2012,"22 nm","$378.00 ",4,8,2300,8.72323127482751,"SmartCache","64-bit",45,32,"DDR3/L/-RS 1333/1600",2,25.6
"1780","Legacy","Mobile","i7-3667U","Launched",2,2012,"22 nm","$346.00 ",2,4,2000,8.31776616671934,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1783","Legacy","Mobile","i7-3720QM","Launched",2,2012,"22 nm","$378.00 ",4,8,2600,8.72323127482751,"SmartCache","64-bit",45,32,"DDR3/L/-RS 1333/1600",2,25.6
"1789","Legacy","Mobile","i7-3820QM","Launched",2,2012,"22 nm","$568.00 ",4,8,2700,9.01091334727929,"SmartCache","64-bit",45,32,"DDR3/L/-RS 1333/1600",2,25.6
"1904","Legacy","Mobile","807","Launched",2,2012,"32 nm","N/A",1,2,1500,7.33693691370762,"L3","64-bit",17,16,"DDR3 1066/1333",2,21.3
"1994","Legacy","Mobile","877","Launched",2,2012,"32 nm","N/A",2,2,1400,7.6246189861594,"L3","64-bit",17,16,"DDR3 1066/1333",2,21.3
"93","Pentium","Server","1405","End of Life",2,2012,"32 nm","N/A",2,2,1200,8.54090971803355,"SmartCache","64-bit",40,375,"DDR3 800/1066 ",2,25
"671","Xeon","Embedded","E3-1105C","Launched",2,2012,"","$389.00 ",4,8,1000,8.72323127482751,"L3","64-bit",25,32,"DDR3 1066/1333/1600",2,25.6
"832","Xeon","Embedded","E5-2448L","Launched",2,2012,"32 nm","$1,266.00 ",8,16,1800,9.92720407915344,"SmartCache","64-bit",70,384,"DDR3 800/1066/1333/1600",3,32
"842","Xeon","Embedded","E5-2428L","Launched",2,2012,"32 nm","$692.00 ",6,12,1800,9.63952200670166,"SmartCache","64-bit",60,384,"DDR3 800/1066/1333 ",3,32
"848","Xeon","Embedded","E5-2418L","Launched",2,2012,"32 nm","$428.00 ",4,8,2000,9.2340568985935,"SmartCache","",50,384,"DDR3 800/1066/1333 ",3,32
"934","Xeon","Embedded","E3-1125C","Launched",2,2012,"","$519.00 ",4,8,2000,9.01091334727929,"L3","64-bit",40,32,"DDR3 1066/1333/1600",2,25.6
"827","Xeon","Server","E5-2470","End of Life",2,2012,"32 nm","$1440.00 - $1444.00",8,16,2300,9.92720407915344,"SmartCache","64-bit",95,384,"DDR3 800/1066/1333/1600",3,38.4
"828","Xeon","Server","E5-2450L","End of Life",2,2012,"32 nm","$1,107.00 ",8,16,1800,9.92720407915344,"SmartCache","64-bit",70,384,"DDR3 800/1066/1333/1600",3,38.4
"830","Xeon","Server","E5-2450","End of Life",2,2012,"32 nm","$1107.00 - $1112.00",8,16,2100,9.92720407915344,"SmartCache","64-bit",95,384,"DDR3 800/1066/1333/1600",3,38.4
"833","Xeon","Server"," E5-4650L","End of Life",2,2012,"32 nm","$3616.00 - $3620.00",8,16,2600,9.92720407915344,"SmartCache","64-bit",115,384,"DDR3 800/1066/1333/1600",4,51.2
"835","Xeon","Server","E5-4650","End of Life",2,2012,"32 nm","$3616.00 - $3620.00",8,16,2700,9.92720407915344,"SmartCache","64-bit",130,384,"DDR3 800/1066/1333/1600",4,51.2
"836","Xeon","Server","E5-2440","End of Life",2,2012,"32 nm","$832.00 - $837.00",6,12,2400,9.63952200670166,"SmartCache","64-bit",95,384,"DDR3 800/1066/1333 ",3,32
"839","Xeon","Server","E5-2430L","End of Life",2,2012,"32 nm","$662.00 ",6,12,2000,9.63952200670166,"SmartCache","64-bit",60,384,"DDR3 800/1066/1333 ",3,32
"840","Xeon","Server","E5-2430","End of Life",2,2012,"32 nm","$519.00 - $554.00",6,12,2200,9.63952200670166,"SmartCache","64-bit",95,384,"DDR3 800/1066/1333 ",3,32
"841","Xeon","Server","E5-4640","End of Life",2,2012,"32 nm","$2725.00 - $2730.00",8,16,2400,9.92720407915344,"SmartCache","64-bit",95,384,"DDR3 800/1066/1333/1600",4,51.2
"843","Xeon","Server","E5-4620","End of Life",2,2012,"32 nm","$1611.00 - $1616.00",8,16,2200,9.70406052783923,"SmartCache","64-bit",95,384,"DDR3 800/1066/1333 ",4,42.6
"846","Xeon","Server","E5-2420","End of Life",2,2012,"32 nm","$387.00 - $391.00",6,12,1900,9.63952200670166,"SmartCache","64-bit",95,384,"DDR3 800/1066/1333 ",3,32
"847","Xeon","Server","E5-4617","End of Life",2,2012,"32 nm","$1,611.00 ",6,6,2900,9.63952200670166,"SmartCache","64-bit",130,384,"DDR3 800/1066/1333/1600",4,51.2
"849","Xeon","Server","E5-1428L","End of Life",2,2012,"32 nm","$480.00 ",6,12,1800,9.63952200670166,"L3","64-bit",60,288,"DDR3 800/1066/1333 ",3,32
"852","Xeon","Server","E5-4610","End of Life",2,2012,"32 nm","$1219.00 - $1223.00",6,12,2400,9.63952200670166,"SmartCache","64-bit",95,384,"DDR3 800/1066/1333 ",4,42.6
"853","Xeon","Server","E5-2407","End of Life",2,2012,"32 nm","$250.00 - $251.00",4,4,2200,9.2340568985935,"SmartCache","64-bit",80,384,"DDR3 800/1066 ",3,25
"854","Xeon","Server","E5-4607","End of Life",2,2012,"32 nm","$885.00 - $889.00",6,12,2200,9.41637845538745,"SmartCache","64-bit",95,384,"DDR3 800/1066 ",4,34.1
"855","Xeon","Server","E5-2403","End of Life",2,2012,"32 nm","$188.00 - $195.00",4,4,1800,9.2340568985935,"SmartCache","64-bit",80,384,"DDR3 800/1066 ",3,25
"856","Xeon","Server","E5-4603","End of Life",2,2012,"32 nm","$551.00 - $555.00",4,8,2000,9.2340568985935,"SmartCache","64-bit",95,384,"DDR3 800/1066 ",4,34.1
"923","Xeon","Server","E3-1220LV2","End of Life",2,2012,"22 nm","$189.00 ",2,4,2300,8.03008409426756,"SmartCache","64-bit",17,32.23,"DDR3 1333/1600",2,25.6
"924","Xeon","Server","E3-1220V2","End of Life",2,2012,"22 nm","$189.00 - $203.00",4,4,3100,9.01091334727929,"SmartCache","64-bit",69,32.77,"DDR3 1333/1600",2,25.6
"925","Xeon","Server","E3-1225V2","Launched",2,2012,"22 nm","$186.00 - $224.00",4,4,3200,9.01091334727929,"SmartCache","64-bit",77,32.77,"DDR3 1333/1600",2,25.6
"926","Xeon","Server","E3-1230V2","End of Life",2,2012,"22 nm","$215.00 - $230.00",4,8,3300,9.01091334727929,"SmartCache","64-bit",69,32.77,"DDR3 1333/1600",2,25.6
"927","Xeon","Server","E3-1240V2","End of Life",2,2012,"22 nm","$250.00 - $261.00",4,8,3400,9.01091334727929,"SmartCache","64-bit",69,32.77,"DDR3 1333/1600",2,25.6
"928","Xeon","Server","E3-1245V2","End of Life",2,2012,"22 nm","$266.00 - $273.00",4,8,3400,9.01091334727929,"SmartCache","64-bit",77,32.77,"DDR3 1333/1600",2,25.6
"929","Xeon","Server","E3-1265LV2","End of Life",2,2012,"22 nm","$294.00 - $305.00",4,8,2500,9.01091334727929,"SmartCache","64-bit",45,32.77,"DDR3 1333/1600",2,25.6
"930","Xeon","Server","E3-1270V2","End of Life",2,2012,"22 nm","$328.00 - $339.00",4,8,3500,9.01091334727929,"SmartCache","64-bit",69,32.77,"DDR3 1333/1600",2,25.6
"931","Xeon","Server","E3-1280V2","End of Life",2,2012,"22 nm","$623.00 ",4,8,3600,9.01091334727929,"SmartCache","64-bit",69,32.77,"DDR3 1333/1600",2,25.6
"932","Xeon","Server","E3-1275V2","Launched",2,2012,"22 nm","$319.00 - $350.00",4,8,3500,9.01091334727929,"SmartCache","64-bit",77,32.77,"DDR3 1333/1600",2,25.6
"933","Xeon","Server","E3-1290V2","End of Life",2,2012,"22 nm","N/A",4,8,3700,9.01091334727929,"SmartCache","64-bit",87,32.77,"DDR3 1333/1600",2,25.6
"586","Atom","Mobile","Z2480","End of Interactive Support",3,2012,"32 nm","N/A",1,2,1400,6.23832462503951,"SmartCache","32-bit",17,2,"LPDDR2 800",2,6.4
"590","Atom","Mobile","Z2760","End of Interactive Support",3,2012,"32 nm","N/A",2,4,1800,6.93147180559945,"L2","32-bit",17,2.4,"LPDDR2 800",2,6.4
"443","Core","Mobile","i7-3940XM","Launched",3,2012,"22 nm","$1,096.00 ",4,8,3000,9.01091334727929,"SmartCache","64-bit",55,32,"DDR3/L/-RS 1333/1600",2,25.6
"235","Legacy","Desktop","G645","End of Life",3,2012,"32 nm","$64.00 ",2,2,2900,8.03008409426756,"SmartCache","64-bit",65,32,"DDR3 1066",2,17
"263","Legacy","Desktop","G645T","End of Life",3,2012,"32 nm","$64.00 ",2,2,2500,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3 1066",2,17
"1721","Legacy","Desktop","i3-3220","Launched",3,2012,"22 nm","$112.00 - $117.00",2,4,3300,8.03008409426756,"SmartCache","64-bit",55,32,"DDR3 1333/1600",2,25.6
"1722","Legacy","Desktop","i3-3220T","Launched",3,2012,"22 nm","$117.00 ",2,4,2800,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3 1333/1600",2,25.6
"1723","Legacy","Desktop","i3-3225","End of Life",3,2012,"22 nm","$134.00 ",2,4,3300,8.03008409426756,"SmartCache","64-bit",55,32,"DDR3 1333/1600",2,25.6
"1725","Legacy","Desktop","i3-3240","Launched",3,2012,"22 nm","$117.00 ",2,4,3400,8.03008409426756,"SmartCache","64-bit",55,32,"DDR3 1333/1600",2,25.6
"1728","Legacy","Desktop","i3-3240T","Launched",3,2012,"22 nm","$117.00 ",2,4,2900,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3 1333/1600",2,25.6
"1737","Legacy","Desktop","i5-3330","End of Life",3,2012,"22 nm","$182.00 - $187.00",4,4,3000,8.72323127482751,"SmartCache","64-bit",77,32,"DDR3 1333/1600",2,25.6
"1738","Legacy","Desktop","i5-3330S","End of Life",3,2012,"22 nm","$182.00 ",4,4,2700,8.72323127482751,"SmartCache","64-bit",65,32,"DDR3 1333/1600",2,25.6
"1744","Legacy","Desktop","i5-3350P","End of Life",3,2012,"22 nm","$177.00 ",4,4,3100,8.72323127482751,"SmartCache","64-bit",69,32.23,"DDR3 1333/1600",2,25.6
"1964","Legacy","Desktop","G550T","End of Life",3,2012,"32 nm","N/A",2,2,2200,7.6246189861594,"SmartCache","64-bit",35,32,"DDR3 1066",2,17
"1978","Legacy","Desktop","G555","End of Life",3,2012,"32 nm","$52.00 ",2,2,2700,7.6246189861594,"SmartCache","64-bit",65,32,"DDR3 1066",2,17
"2013","Legacy","Desktop","G465","End of Life",3,2012,"32 nm","$37.00 ",1,2,1900,7.33693691370762,"SmartCache","64-bit",35,32,"DDR3 1066",2,17
"1716","Legacy","Embedded","i3-3120ME","Launched",3,2012,"22 nm","$199.00 ",2,4,2400,8.03008409426756,"SmartCache","64-bit",35,16,"DDR3/DDR3L 1333/1600",2,25.6
"1720","Legacy","Embedded","i3-3217UE","Launched",3,2012,"22 nm","$221.00 ",2,4,1600,8.03008409426756,"SmartCache","64-bit",17,16,"DDR3/DDR3L 1333/1600",2,25.6
"294","Legacy","Mobile","987","Launched",3,2012,"32 nm","N/A",2,2,1500,7.6246189861594,"Standard","64-bit",17,16.38,"DDR3 1066/1333",2,21.3
"327","Legacy","Mobile","997","Launched",3,2012,"32 nm","N/A",2,2,1600,7.6246189861594,"L3","64-bit",17,16,"DDR3 1066/1333",2,21.3
"1652","Legacy","Mobile","i3-2328M","Launched",3,2012,"32 nm","N/A",2,4,2200,8.03008409426756,"Standard","64-bit",35,16,"DDR3 1066/1333",2,21.3
"1659","Legacy","Mobile","i3-2365M","Launched",3,2012,"32 nm","N/A",2,4,1400,8.03008409426756,"SmartCache","64-bit",17,16,"DDR3 1066/1333",2,25.6
"1715","Legacy","Mobile","i3-3120M","Launched",3,2012,"22 nm","$225.00 ",2,4,2500,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1776","Legacy","Mobile","i7-3630QM","Launched",3,2012,"22 nm","$378.00 ",4,8,2400,8.72323127482751,"SmartCache","64-bit",45,32,"DDR3/L/-RS 1333/1600",2,25.6
"1777","Legacy","Mobile","i7-3632QM","Launched",3,2012,"22 nm","$378.00 ",4,8,2200,8.72323127482751,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1778","Legacy","Mobile","i7-3632QM","Launched",3,2012,"22 nm","N/A",4,8,2200,8.72323127482751,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1779","Legacy","Mobile","i7-3635QM","Launched",3,2012,"22 nm","N/A",4,8,2400,8.72323127482751,"SmartCache","64-bit",45,32,"DDR3/L/-RS 1333/1600",2,25.6
"1785","Legacy","Mobile","i7-3740QM","Launched",3,2012,"22 nm","$378.00 - $380.00",4,8,2700,8.72323127482751,"SmartCache","64-bit",45,32,"DDR3/L/-RS 1333/1600",2,25.6
"1790","Legacy","Mobile","i7-3840QM","Launched",3,2012,"22 nm","$568.00 ",4,8,2800,9.01091334727929,"SmartCache","64-bit",45,32,"DDR3/L/-RS 1333/1600",2,25.6
"1948","Legacy","Mobile","B820","Launched",3,2012,"32 nm","N/A",2,2,1700,7.6246189861594,"Standard","64-bit",35,16,"DDR3 1066/1333",2,21.3
"1962","Legacy","Mobile","B830","Launched",3,2012,"32 nm","N/A",2,2,1800,7.6246189861594,"L3","64-bit",35,16,"DDR3 1066/1333",2,21.3
"2014","Legacy","Mobile","887","Launched",3,2012,"32 nm","N/A",2,2,1500,7.6246189861594,"L3","64-bit",17,16,"DDR3 1066/1333",2,21.3
"1818","Pentium","Desktop","G2100T","End of Life",3,2012,"22 nm","N/A",2,2,2600,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3 1333/1600",2,25.6
"1819","Pentium","Desktop","G2120","Launched",3,2012,"22 nm","$65.00 - $82.00",2,2,3100,8.03008409426756,"SmartCache","64-bit",55,32,"DDR3 1333/1600",2,25.6
"11","Pentium","Mobile","2020M","Launched",3,2012,"22 nm","$134.00 ",2,2,2400,7.6246189861594,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"38","Pentium","Mobile","2117U","Launched",3,2012,"22 nm","$134.00 ",2,2,1800,7.6246189861594,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"561","Atom","Server","S1220","End of Life",4,2012,"32 nm","$54.00 ",2,4,1600,6.93147180559945,"Standard","64-bit",8.1,8,"DDR3 1333",1,10.6
"562","Atom","Server","S1240","End of Life",4,2012,"32 nm","$64.00 ",2,4,1600,6.93147180559945,"Standard","64-bit",6.1,8,"DDR3 1333",1,10.6
"563","Atom","Server","S1260","End of Life",4,2012,"32 nm","N/A",2,4,2000,6.93147180559945,"Standard","64-bit",8.5,8,"DDR3 1333",1,10.6
"445","Core","Desktop","i7-3970X","End of Life",4,2012,"32 nm","$1,059.00 ",6,12,3500,9.63952200670166,"SmartCache","64-bit",150,64.45,"DDR3 1066/1333/1600",4,51.2
"1243","Xeon","Server","5110P","End of Life",4,2012,"22 nm","N/A",60,120,1050,10.3326691872616,"L2","64-bit",225,8,"",16,320
"484","Atom","Mobile","Z2420","End of Interactive Support",1,2013,"32 nm","N/A",1,2,1800,6.23832462503951,"SmartCache","32-bit",17,1,"LPDDR2 800",2,6.4
"9","Celeron","Desktop","G1610","Launched",1,2013,"22 nm","$42.00 ",2,2,2600,7.6246189861594,"SmartCache","64-bit",55,32,"DDR3 1333",2,21
"366","Celeron","Desktop","G1610T","Launched",1,2013,"22 nm","$42.00 ",2,2,2300,7.6246189861594,"SmartCache","64-bit",35,32,"DDR3 1333",2,21
"367","Celeron","Desktop","G1620","Launched",1,2013,"22 nm","$40.00 - $42.00",2,2,2700,7.6246189861594,"SmartCache","64-bit",55,32,"DDR3 1333",2,21
"1866","Celeron","Embedded","1020E","Launched",1,2013,"22 nm","$76.00 ",2,2,2200,7.6246189861594,"SmartCache","64-bit",35,16,"DDR3/DDR3L 1333/1600",2,25.6
"1869","Celeron","Embedded","1047UE","Launched",1,2013,"22 nm","$119.00 ",2,2,1400,7.6246189861594,"SmartCache","64-bit",17,16,"DDR3/DDR3L 1333/1600",2,25.6
"1268","Celeron","Mobile","1000M","Launched",1,2013,"22 nm","$75.00 ",2,2,1800,7.6246189861594,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600	",2,25.6
"1863","Celeron","Mobile","1007U","Launched",1,2013,"22 nm","$75.00 ",2,2,1500,7.6246189861594,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1867","Celeron","Mobile","1020M","Launched",1,2013,"22 nm","$75.00 ",2,2,2100,7.6246189861594,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1868","Celeron","Mobile","1037U","Launched",1,2013,"22 nm","N/A",2,2,1800,7.6246189861594,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1718","Legacy","Desktop","i3-3210","End of Life",1,2013,"22 nm","$117.00 ",2,4,3200,8.03008409426756,"SmartCache","64-bit",55,32,"DDR3 1333/1600",2,25.6
"2057","Legacy","Embedded","927UE","Launched",1,2013,"22 nm","$95.00 ",1,1,1500,6.93147180559945,"SmartCache","",17,16,"DDR3/DDR3L 1333/1600",2,25.6
"1656","Legacy","Mobile","i3-2348M","Launched",1,2013,"32 nm","N/A",2,4,2300,8.03008409426756,"SmartCache","64-bit",35,16,"DDR3 1066/1333",2,21.3
"1662","Legacy","Mobile","i3-2375M","Launched",1,2013,"32 nm","N/A",2,4,1500,8.03008409426756,"SmartCache","64-bit",17,16,"DDR3 1066/1333",2,25.6
"1717","Legacy","Mobile","i3-3130M","Launched",1,2013,"22 nm","N/A",2,4,2600,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1724","Legacy","Mobile","i3-3227U","Launched",1,2013,"22 nm","$225.00 ",2,4,1900,8.03008409426756,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1726","Legacy","Mobile","i3-3229Y","Launched",1,2013,"22 nm","N/A",2,4,1400,8.03008409426756,"Standard","64-bit",13,32,"DDR3/L/-RS 1333/1600",2,25.6
"1732","Legacy","Mobile","i5-3230M","Launched",1,2013,"22 nm","N/A",2,4,2600,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1733","Legacy","Mobile","i5-3230M","Launched",1,2013,"22 nm","$225.00 ",2,4,2600,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1739","Legacy","Mobile","i5-3337U","Launched",1,2013,"22 nm","$225.00 ",2,4,1800,8.03008409426756,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1740","Legacy","Mobile","i5-3339Y","Launched",1,2013,"22 nm","N/A",2,4,1500,8.03008409426756,"Standard","64-bit",13,32,"DDR3/L/-RS 1333/1600",2,25.6
"1743","Legacy","Mobile","i5-3340M","Launched",1,2013,"22 nm","$225.00 - $227.00",2,4,2700,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1747","Legacy","Mobile","i5-3380M","Launched",1,2013,"22 nm","$266.00 - $269.00",2,4,2900,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1748","Legacy","Mobile","i5-3437U","Launched",1,2013,"22 nm","N/A",2,4,1900,8.03008409426756,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1749","Legacy","Mobile","i5-3439Y","Launched",1,2013,"22 nm","N/A",2,4,1500,8.03008409426756,"Standard","64-bit",13,32,"DDR3/L/-RS 1333/1600",2,25.6
"1766","Legacy","Mobile","i7-3537U","Launched",1,2013,"22 nm","$346.00 ",2,4,2000,8.31776616671934,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1767","Legacy","Mobile","i7-3540M","Launched",1,2013,"22 nm","$346.00 ",2,4,3000,8.31776616671934,"SmartCache","64-bit",35,32,"DDR3/L/-RS 1333/1600",2,25.6
"1781","Legacy","Mobile","i7-3687U","Launched",1,2013,"22 nm","$346.00 ",2,4,2100,8.31776616671934,"SmartCache","64-bit",17,32,"DDR3/L/-RS 1333/1600",2,25.6
"1782","Legacy","Mobile","i7-3689Y","Launched",1,2013,"22 nm","N/A",2,4,1500,8.31776616671934,"Standard","64-bit",13,32,"DDR3/L/-RS 1333/1600",2,25.6
"1270","Pentium","Desktop","G2010","End of Life",1,2013,"22 nm","$64.00 ",2,2,2800,8.03008409426756,"SmartCache","64-bit",55,32,"DDR3 1333",2,21
"1814","Pentium","Desktop","G2020","End of Life",1,2013,"22 nm","$64.00 ",2,2,2900,8.03008409426756,"SmartCache","64-bit",55,32,"DDR3 1333",2,21
"1816","Pentium","Desktop","G2020T","Launched",1,2013,"22 nm","$64.00 ",2,2,2500,8.03008409426756,"SmartCache","64-bit",35,32,"DDR3 1333",2,21
"1821","Pentium","Desktop","G2130","Launched",1,2013,"22 nm","$75.00 - $82.00",2,2,3200,8.03008409426756,"SmartCache","64-bit",55,32,"DDR3 1333/1600",2,25.6
